"id","env","rating","yield","flower_start","flower_end","flower_average","strch_start","strch_end","growth"
"1","0","9.0","9","53","67","60","0","0","0"
"2","0","10.0","10","49","59","54","125","200","60"
"3","0","10.0","6","60","60","60","76","119","57"
"4","0","9.0","8","54","58","56","45","110","144"
"5","1","8.0","7","0","0","0","0","0","0"
"6","0","8.5","8","47","52","50","30","55","83"
"7","1","8.5","8","0","0","0","0","0","0"
"8","0","7.0","6","60","66","63","0","0","0"
"9","1","7.0","7","0","0","0","0","0","0"
"10","0","7.0","6","66","72","69","40","130","225"
"11","1","8.0","5","0","0","0","0","0","0"
"12","0","9.0","7","65","75","70","0","0","0"
"13","0","9.0","7","67","73","70","25","95","280"
"14","0","0.0","0","0","0","0","0","0","0"
"15","1","7.0","7","0","0","0","0","0","0"
"16","0","9.5","8","52","58","55","15","53","253"
"17","0","9.0","8","55","55","55","0","0","0"
"18","0","8.0","7","0","0","0","50","100","100"
"19","0","6.0","5","76","80","78","20","70","250"
"20","1","9.0","7","0","0","0","0","0","0"
"21","0","9.0","9","52","68","60","0","0","0"
"22","1","6.0","5","0","0","0","0","0","0"
"23","1","0.0","6","0","0","0","0","0","0"
"24","0","0.0","8","60","80","70","20","100","400"
"25","0","2.33","3","70","70","70","0","0","0"
"26","0","9.0","8","55","65","60","0","0","0"
"27","0","8.0","6","60","60","60","50","100","100"
"28","0","3.0","5","68","68","68","0","0","0"
"29","0","8.0","7","55","65","60","30","110","267"
"30","0","8.5","6","65","75","70","0","0","0"
"31","0","7.0","8","64","70","67","60","120","100"
"32","1","0.0","0","0","0","0","0","0","0"
"33","0","6.0","4","41","51","46","0","0","0"
"34","0","0.0","0","0","0","0","0","0","0"
"35","0","0.0","0","0","0","0","0","0","0"
"36","0","6.5","5.5","67","75","71","15","78","420"
"37","0","8.0","8","59","67","63","39","130","233"
"38","1","7.5","5.5","0","0","0","0","0","0"
"39","0","10.0","7","55","65","60","5","40","700"
"40","0","9.0","0","0","0","0","0","0","0"
"41","1","0.0","0","0","0","0","0","0","0"
"42","0","10.0","9","56","62","59","45","35","-22"
"43","1","7.0","7","0","0","0","0","0","0"
"44","0","8.33","8.5","67","73","70","35","110","214"
"45","0","9.5","9","66","67","66","55","110","100"
"46","1","10.0","8","0","0","0","0","0","0"
"47","0","9.0","8","55","65","60","40","120","200"
"48","1","8.0","8","0","0","0","0","0","0"
"49","0","7.29","8.67","74","92","83","42","138","229"
"50","1","9.0","8","0","0","0","0","0","0"
"51","0","0.0","2","0","0","0","20","130","550"
"52","0","10.0","5","57","63","60","10","45","350"
"53","1","9.0","6","0","0","0","0","0","0"
"54","0","8.0","8","0","0","0","0","0","0"
"55","0","10.0","10","49","49","49","25","70","180"
"56","1","7.0","6","0","0","0","0","0","0"
"57","0","8.0","8","58","62","60","25","110","340"
"58","0","8.0","7.5","66","76","71","37","105","184"
"59","1","7.0","7","0","0","0","0","0","0"
"60","0","9.0","7","59","63","61","35","80","129"
"61","1","9.0","9","0","0","0","0","0","0"
"62","1","8.0","8","0","0","0","0","0","0"
"63","0","0.0","8","65","70","68","35","110","214"
"64","0","8.0","0","0","0","0","0","0","0"
"65","1","8.0","0","0","0","0","0","0","0"
"66","0","8.0","7","50","60","55","60","130","117"
"67","0","5.5","5","55","65","60","0","0","0"
"68","0","8.0","8","60","70","65","30","110","267"
"69","0","7.0","7","63","63","63","0","0","0"
"70","0","8.0","7","61","68","65","28","111","296"
"71","0","5.0","5","58","58","58","0","0","0"
"72","0","3.0","3","55","65","60","25","65","160"
"73","0","10.0","8","60","60","60","25","60","140"
"74","0","8.25","6.5","57","61","59","31","71","129"
"75","1","10.0","10","0","0","0","0","0","0"
"76","0","0.0","0","0","0","0","0","0","0"
"77","0","10.0","0","0","0","0","0","0","0"
"78","0","10.0","8","50","60","55","0","0","0"
"79","0","8.0","8","49","63","56","80","110","38"
"80","0","8.0","7.5","84","88","86","50","150","200"
"81","0","0.0","0","58","62","60","0","0","0"
"82","0","9.0","8","57","63","60","0","0","0"
"83","0","7.0","6","56","64","60","0","0","0"
"84","0","8.0","7","50","56","53","0","0","0"
"85","0","9.5","4","56","64","60","50","150","200"
"86","0","6.0","6","51","79","65","15","50","233"
"87","0","0.0","9","75","85","80","40","150","275"
"88","1","10.0","10","0","0","0","0","0","0"
"89","0","6.0","9","63","63","63","0","0","0"
"90","0","5.0","5","56","64","60","20","60","200"
"91","0","0.0","0","0","0","0","0","0","0"
"92","0","5.0","4","64","68","66","0","0","0"
"93","0","8.67","7.75","65","70","67","28","79","182"
"94","0","9.0","0","0","0","0","0","0","0"
"95","0","9.0","7","68","76","72","28","113","304"
"96","0","9.0","8","58","58","58","10","110","1000"
"97","0","9.0","7","60","68","64","30","125","317"
"98","0","9.56","7.83","55","60","58","37","96","159"
"99","0","8.67","5","54","66","60","30","50","67"
"100","0","7.0","7","54","60","57","40","110","175"
"101","0","9.0","6","70","90","80","35","120","243"
"102","0","8.0","8","53","61","57","0","0","0"
"103","0","0.0","2","0","0","0","0","0","0"
"104","0","9.0","8","63","77","70","30","134","347"
"105","0","9.5","8.5","49","58","54","18","70","289"
"106","0","7.0","8","56","60","58","10","90","800"
"107","0","8.33","8","42","42","42","0","0","0"
"108","0","8.0","6","64","70","67","34","120","253"
"109","0","7.0","5.5","60","62","61","50","80","60"
"110","0","8.0","0","0","0","0","0","0","0"
"111","0","10.0","7","50","70","60","0","0","0"
"112","0","8.0","7","52","62","57","40","65","63"
"113","0","8.0","7","60","70","65","23","75","226"
"114","0","7.0","0","50","70","60","0","0","0"
"115","0","8.0","8","70","76","73","35","85","143"
"116","0","8.0","5","70","70","70","0","0","0"
"117","0","9.0","8","53","59","56","60","160","167"
"118","0","8.0","0","0","0","0","0","0","0"
"119","0","10.0","6.5","58","73","65","100","238","138"
"120","0","8.0","6","70","84","77","25","110","340"
"121","0","4.75","2","62","70","66","18","35","94"
"122","0","8.0","7","53","59","56","0","0","0"
"123","0","9.0","9","60","70","65","30","120","300"
"124","1","4.0","5","0","0","0","0","0","0"
"125","0","8.0","7.5","57","69","63","53","120","126"
"126","1","10.0","0","0","0","0","0","0","0"
"127","0","0.0","9","61","67","64","50","90","80"
"128","0","9.0","6","56","64","60","0","0","0"
"129","0","8.0","7.33","61","69","65","37","82","122"
"130","1","9.0","7","0","0","0","0","0","0"
"131","1","8.0","6","0","0","0","0","0","0"
"132","1","9.0","8","0","0","0","0","0","0"
"133","0","7.0","7.5","60","65","63","35","70","100"
"134","0","10.0","7","51","57","54","46","74","61"
"135","0","0.0","0","50","70","60","0","0","0"
"136","0","10.0","0","0","0","0","45","80","78"
"137","0","10.0","8","64","70","67","20","100","400"
"138","0","9.0","9","65","65","65","0","0","0"
"139","1","9.0","7","0","0","0","0","0","0"
"140","0","9.0","8","75","75","75","60","120","100"
"141","1","3.0","4","0","0","0","0","0","0"
"142","0","6.0","6","0","0","0","35","200","471"
"143","0","10.0","8","72","82","77","0","0","0"
"144","1","8.0","8","0","0","0","0","0","0"
"145","0","8.0","6","58","68","63","0","0","0"
"146","0","7.0","3","80","100","90","0","0","0"
"147","0","7.0","6.29","55","64","59","39","88","126"
"148","1","7.0","6","0","0","0","0","0","0"
"149","0","7.0","0","65","75","70","0","0","0"
"150","0","9.0","9","63","73","68","40","100","150"
"151","0","3.1","2.89","58","64","61","38","100","163"
"152","1","0.0","1","0","0","0","0","0","0"
"153","0","7.0","7","60","70","65","16","27","69"
"154","0","0.0","6","50","52","51","20","43","115"
"155","0","9.0","7","57","64","60","25","65","160"
"156","1","7.67","7.33","0","0","0","0","0","0"
"157","0","9.0","7","70","84","77","10","50","400"
"158","0","7.5","6.5","58","62","60","58","130","124"
"159","0","0.0","6","0","0","0","20","35","75"
"160","1","0.0","6","0","0","0","0","0","0"
"161","0","9.0","7","60","70","65","50","120","140"
"162","0","7.91","8.09","56","77","66","35","92","163"
"163","1","10.0","10","0","0","0","0","0","0"
"164","0","8.0","5","60","64","62","0","0","0"
"165","0","9.5","8","62","66","64","15","60","300"
"166","1","9.0","8","0","0","0","0","0","0"
"167","0","7.0","7","70","84","77","100","200","100"
"168","0","9.0","9.5","55","61","58","25","100","300"
"169","0","8.0","7","52","52","52","25","60","140"
"170","0","9.0","8.5","61","75","68","60","160","167"
"171","0","7.0","7","65","79","72","0","0","0"
"172","0","7.0","6","65","65","65","40","80","100"
"173","1","9.0","9","0","0","0","0","0","0"
"174","0","10.0","5","55","55","55","0","0","0"
"175","1","9.0","8","0","0","0","0","0","0"
"176","0","9.0","5","52","62","57","25","60","140"
"177","1","6.0","3","0","0","0","0","0","0"
"178","0","0.0","2","155","177","166","0","0","0"
"179","1","4.0","0","0","0","0","0","0","0"
